Prest.,Vento,Atleta,Anno,Società,Città,Data
50.07,,"DE BARBA AF,SCHENAL AF,BARP AF,SCOPEL JF",,ANA ATL.FELTRE,Feltre,26/06/2021
51.49,,"SPADA AF,CRIVELLER AF,BASSANI AF,CURIC AF",,ANA ATL.FELTRE,Feltre,29/04/2012
51.50,,"FONTANA AF,CURIC AF,SPADA AF,CRIVELLER AF",,ANA ATL.FELTRE,Vicenza,21/05/2011
51.60,,"BASSANI AF,CURIC AF,SPADA AF,CRIVELLER AF",,ANA ATL.FELTRE,Abano Terme,12/05/2012
51.76,,"DE BARBA AF,CASSOL AF,BARP AF,SCHENAL AF",,ANA ATL.FELTRE,Vittorio Veneto,11/04/2021
52.23,,"SPADA AF,CRIVELLER AF,POLIZZI AF,CURIC AF",,ANA ATL.FELTRE,Rovigo,07/05/2011
52.36,,"DE BARBA JF,BARP JF,COMIOTTO AF,SCOPEL PF",,ANA ATL.FELTRE,Padova,14/05/2022
53.27,,"COMIOTTO G. AF,COLUSSI I. AF,ANDREOLI V. AF,SPADA A. AF",,ANA ATL.FELTRE,Conegliano,23/04/2023
53.36,,"FACCHIN,ZAETTA,ZATTA,BERNARD",,ANA ATL.FELTRE,Rosa,23/05/2009
53.83,,"DE BARBA AF,CASSOL AF,DE BORTOLI AF,SPADA AF",,ANA ATL.FELTRE,Verona,02/06/2021
53.89,,"COMIOTTO AF,MALACARNE AF,FRADA AF,CASSOL AF",,ANA ATL.FELTRE,Verona,07/05/2022
53.99,,"MALACARNE AF,FILOSA AF,MARAZZINI AF,ZABOT AF",,ANA ATL.FELTRE,Cassola,26/04/2015
54.39,,"POLIZZI,DE MARCHI,ZATTA,FACCHIN",,ANA ATL.FELTRE,Verona,02/06/2010
54.62,,"DE BARBA AF,CASSOL AF,DE BORTOLI AF,DE RIZ AF",,ANA ATL.FELTRE,Cles,25/09/2021
54.80,,"RAVEANE AF,PERSICO AF,RENTO AF,ZATTA AF",,ANA ATL.FELTRE,San Biagio Di Callalta,12/05/2018
56.03,,"DE BORTOLI AF,MAHJOUBI AF,DAL ZOTTO AF,SPADA AF",,ANA ATL.FELTRE,Vittorio Veneto,11/04/2021
